train_loss,train_acc,val_loss,val_acc
1.0249415335997958,0.6241894236916613,0.9137316770071587,0.6678700361010831
0.8129837938025287,0.7080098639145127,0.7510699563078072,0.720216606498195
0.7632742506726734,0.7265047036259019,0.7509477142822871,0.7418772563176895
0.7333437570078383,0.7362772855968581,0.6830625138127847,0.7581227436823105
0.7088434235430578,0.7430815599598136,0.6484713074532656,0.779783393501805
0.6895013316106182,0.7508676591469541,0.6910512128891928,0.7436823104693141
0.6761992048461619,0.7546122933601241,0.6290206334651162,0.7689530685920578
0.6662034108188231,0.755023289798155,0.6354591609768919,0.7635379061371842
0.6527995839381568,0.761873230432003,0.6307028682653655,0.7924187725631769
0.6436775632291768,0.7652068682071422,0.5938125812189674,0.8068592057761733
0.6373756994274786,0.76605169421865,0.5970130911372629,0.7924187725631769
0.6284699311337195,0.769042834962097,0.6396814264115014,0.7509025270758123
0.6280870289277329,0.7713718147776052,0.6053170217503709,0.7851985559566788
0.6234576668529405,0.7718056443510822,0.6425190618537393,0.7545126353790614
0.6176449089591847,0.7715316467257284,0.6254629320616326,0.7563176895306859
0.613591031278472,0.7756872773769293,0.6280912107078608,0.759927797833935
0.5592852714660778,0.792812128961549,0.5601015699899584,0.7888086642599278
0.5469867942844725,0.7968307608000731,0.5688389462254108,0.779783393501805
0.5415892171847765,0.7995707370536121,0.5899481046070691,0.7942238267148015
0.5401120800380348,0.7985889122294273,0.5426049086161039,0.7996389891696751
