accuracy,loss,val_accuracy,val_loss,learning_rate
0.41264042258262634,1.5430183410644531,0.3032490909099579,2.2299065589904785,0.009999999776482582
0.5453466176986694,1.1973258256912231,0.45126354694366455,1.4439572095870972,0.009999999776482582
0.590099573135376,1.0942288637161255,0.5361011028289795,1.2864525318145752,0.009999999776482582
0.6076353788375854,1.050451397895813,0.5631768703460693,1.0557441711425781,0.009999999776482582
0.6214494705200195,1.0162334442138672,0.5848375558853149,1.198348879814148,0.009999999776482582
0.6354461312294006,0.9870827794075012,0.6191335916519165,1.0706288814544678,0.009999999776482582
0.647479236125946,0.9560267925262451,0.6046931147575378,1.1683728694915771,0.009999999776482582
0.6543976664543152,0.9377448558807373,0.44584837555885315,1.5230292081832886,0.009999999776482582
0.6641245484352112,0.9166560173034668,0.6371841430664062,0.9757808446884155,0.009999999776482582
0.6686912178993225,0.9055444002151489,0.673285186290741,0.89805668592453,0.009999999776482582
0.6699241995811462,0.8983553647994995,0.667870044708252,0.9384377598762512,0.009999999776482582
0.7025070786476135,0.8160467147827148,0.749097466468811,0.7784980535507202,0.0020000000949949026
0.707119345664978,0.8035250902175903,0.743682324886322,0.8116782307624817,0.0020000000949949026
0.7087861895561218,0.7997985482215881,0.7184115648269653,0.887919545173645,0.0020000000949949026
0.7118458151817322,0.7926245331764221,0.7346570491790771,0.8807703256607056,0.0020000000949949026
0.7146771550178528,0.7837966084480286,0.7220216393470764,0.9494436979293823,0.0020000000949949026
0.7172572612762451,0.7800407409667969,0.7328519821166992,0.9030565619468689,0.0020000000949949026
0.7164353132247925,0.7765610218048096,0.749097466468811,0.8741025328636169,0.0020000000949949026
0.718353271484375,0.7711805105209351,0.7364621162414551,0.8948532938957214,0.0020000000949949026
0.7186501026153564,0.7689102292060852,0.749097466468811,0.8740739822387695,0.0020000000949949026
0.7176454663276672,0.7660249471664429,0.7238267064094543,0.9018861651420593,0.0020000000949949026
0.7224404215812683,0.7609175443649292,0.7545126080513,0.8474374413490295,0.0020000000949949026
0.7232852578163147,0.7582489252090454,0.7238267064094543,0.8919379115104675,0.0020000000949949026
0.723673403263092,0.756580114364624,0.7346570491790771,0.875830352306366,0.0020000000949949026
0.7244040369987488,0.7517012357711792,0.749097466468811,0.8338814377784729,0.0020000000949949026
0.7265275120735168,0.7513207793235779,0.7472923994064331,0.8857226371765137,0.0020000000949949026
0.733948290348053,0.7358133792877197,0.7671480178833008,0.8850211501121521,0.0010000000474974513
0.7321901321411133,0.7304065823554993,0.7527076005935669,0.8973467946052551,0.0010000000474974513
0.7327381372451782,0.7261698246002197,0.7400721907615662,0.9403678774833679,0.0010000000474974513
0.7349072694778442,0.7258498072624207,0.7382671236991882,0.9199132919311523,0.0010000000474974513
0.7306374907493591,0.7315426468849182,0.7599278092384338,0.878643274307251,0.0010000000474974513
0.7359576225280762,0.7230777144432068,0.7599278092384338,0.8557237386703491,0.0010000000474974513
0.7337656617164612,0.7263040542602539,0.7689530849456787,0.8732778429985046,0.0010000000474974513
0.737122118473053,0.7200863361358643,0.7527076005935669,0.8463010191917419,0.0010000000474974513
0.73762446641922,0.7191524505615234,0.756317675113678,0.925610363483429,0.0010000000474974513
0.7378984093666077,0.7184454798698425,0.7581227421760559,0.8550975918769836,0.0010000000474974513
0.739747941493988,0.7095632553100586,0.7671480178833008,0.839070737361908,9.999999747378752e-05
0.7437437176704407,0.702098548412323,0.7707581520080566,0.8319501876831055,9.999999747378752e-05
0.741917073726654,0.7012224197387695,0.7653429508209229,0.8442991971969604,9.999999747378752e-05
0.7440633773803711,0.6982151865959167,0.7689530849456787,0.8308231830596924,9.999999747378752e-05
0.7442688941955566,0.7009521722793579,0.7653429508209229,0.8244758248329163,9.999999747378752e-05
0.7415974140167236,0.7010385394096375,0.7671480178833008,0.83226478099823,9.999999747378752e-05
0.7438807487487793,0.7006114721298218,0.7725631594657898,0.8481395244598389,9.999999747378752e-05
0.7415974140167236,0.7022129893302917,0.7671480178833008,0.8358701467514038,9.999999747378752e-05
0.7461183667182922,0.6987096667289734,0.7689530849456787,0.8347465991973877,9.999999747378752e-05
0.7421910762786865,0.7031779885292053,0.7671480178833008,0.8433513045310974,9.999999747378752e-05
0.7421454191207886,0.703193724155426,0.7635378837585449,0.8495810627937317,9.999999747378752e-05
0.7428532242774963,0.700679361820221,0.7689530849456787,0.8391201496124268,9.999999747378752e-05
0.745136559009552,0.7006863355636597,0.7689530849456787,0.8388568162918091,9.999999747378752e-05
0.7430359125137329,0.6984411478042603,0.7779783606529236,0.8350706696510315,9.999999747378752e-05
