train_loss,train_acc,val_loss,val_acc,lr
1.5443306024765486,0.4307242670563522,1.8505488440448197,0.2111913357400722,0.0001
1.1910752189008054,0.5679970773586629,1.5890611732909825,0.427797833935018,9.997532801828658e-05
1.0753858021671168,0.6069960727007032,1.0110140686000728,0.6299638989169675,9.990133642141359e-05
1.0065403439942229,0.6336195086309252,0.9498732451497433,0.631768953068592,9.977809823015401e-05
0.9618041063837944,0.6526395104575761,0.8877031422263879,0.6552346570397112,9.960573506572391e-05
0.918277005173102,0.6659740615581332,0.8888410265264959,0.6895306859205776,9.93844170297569e-05
0.8868355949030193,0.6775276280938899,0.9581519834401375,0.6407942238267148,9.911436253643445e-05
0.8631321136369391,0.6839665722897068,0.8261631030037946,0.6805054151624549,9.879583809693738e-05
0.8351889217767621,0.696456297378756,0.8582317773185482,0.6768953068592057,9.842915805643157e-05
0.818656783619366,0.701319755228788,0.8197062936500522,0.6967509025270758,9.801468428384717e-05
0.8034462703941228,0.7075532012055895,0.7580085368793363,0.723826714801444,9.75528258147577e-05
0.7809870372799306,0.7143574755685451,0.7671280229995397,0.7220216606498195,9.70440384477113e-05
0.7707197463167281,0.7181021097817152,0.8202638217258109,0.7111913357400722,9.64888242944126e-05
0.7626540151641014,0.7233308977988857,0.774013362636635,0.7256317689530686,9.588773128419907e-05
0.7456129980213577,0.7279660242944561,0.9702240383581995,0.6624548736462094,9.5241352623301e-05
0.733400648190492,0.7297241757238104,0.7770547367605491,0.7184115523465704,9.455032620941843e-05
0.7274360056173443,0.7307744999543337,0.7585474265611559,0.723826714801444,9.381533400219321e-05
0.7196956807015116,0.7343136359484884,0.6952791429168481,0.7490974729241877,9.303710135019722e-05
0.711659671433038,0.7360946205132889,0.725150533531547,0.7129963898916968,9.22163962751008e-05
0.7037003845158794,0.7380354370262124,0.8610616685681395,0.6787003610108303,9.135402871372814e-05
0.7005096617567234,0.7410037446342131,0.757553873940065,0.7220216606498195,9.045084971874742e-05
0.6918407073956405,0.7415974061558133,0.7533259245462797,0.7346570397111913,8.950775061878456e-05
0.6857565315044768,0.746712028495753,0.7041712880995299,0.7454873646209387,8.852566213878951e-05
0.6768740264016512,0.749566170426523,0.7015620263474943,0.7509025270758123,8.750555348152303e-05
0.6735049515665911,0.7484016805187689,0.7426162428804253,0.7256317689530686,8.644843137107063e-05
0.6698875198223588,0.7491095077175998,0.8202279324135625,0.7093862815884476,8.535533905932742e-05
0.6636767819468012,0.7545437939537857,0.6756157352175524,0.759927797833935,8.422735529643448e-05
0.663122647504783,0.7528313087953238,0.6762444209105701,0.7490974729241877,8.306559326618263e-05
0.6547239135036578,0.7572152708009864,0.6837504607245379,0.7509025270758123,8.187119948743452e-05
0.650209835342364,0.7559594483514476,0.7104168824770821,0.7220216606498195,8.064535268264887e-05
0.6437018163585916,0.7573979358845556,0.6674705541521203,0.7581227436823105,7.938926261462371e-05
0.6369477693909803,0.7605717417115718,0.6725341925121817,0.7418772563176895,7.810416889260659e-05
0.6385509186993452,0.7596812494291716,0.7089605163581104,0.740072202166065,7.679133974894988e-05
0.6319959692344653,0.7642935427892958,0.6528419294942587,0.759927797833935,7.545207078751862e-05
0.6254341031865057,0.7654580326970499,0.6469914452693953,0.759927797833935,7.408768370508582e-05
0.6196178674305919,0.7670791853137273,0.6981105638755357,0.7382671480144405,7.26995249869774e-05
0.6134123185887512,0.7678098456480044,0.6430140772451132,0.7490974729241877,7.12889645782537e-05
0.6109152921629514,0.7713946479130515,0.6770775169672089,0.7472924187725631,6.985739453173908e-05
0.609751332262377,0.771326148506713,0.7248768617099803,0.7346570397111913,6.840622763423397e-05
0.6085942779809811,0.7709836514750206,0.6327709366268199,0.7707581227436823,6.693689601226464e-05
0.6048771036369135,0.7707781532560051,0.6954219941628108,0.7490974729241877,6.545084971874744e-05
0.6025219599926719,0.7736094620513289,0.6466945624954004,0.7436823104693141,6.394955530196154e-05
0.5942312004533747,0.7742944561147137,0.6686428393697911,0.759927797833935,6.24344943582428e-05
0.5908891845319966,0.7760754406795141,0.7591173902745711,0.7075812274368231,6.0907162069827195e-05
0.5857072191506676,0.7787925837976071,0.627155496755662,0.7707581227436823,5.93690657292863e-05
0.5812654041549323,0.7761896063567449,0.5976291963770071,0.7689530685920578,5.7821723252011606e-05
0.5832437013739243,0.7799342405699151,0.6638988979456657,0.7563176895306859,5.6266661678215284e-05
0.5785375402250054,0.7805964014978537,0.6073735939466566,0.7743682310469314,5.470541566592577e-05
0.5747469391264495,0.7799570737053613,0.6246514445177485,0.7743682310469314,5.313952597646573e-05
0.5690839722587895,0.7814640606448078,0.688834753492679,0.7274368231046932,5.1570537953906474e-05
0.5678056902793545,0.7819435564891771,0.6131216423175826,0.7527075812274369,5.0000000000000057e-05
0.5621692326060386,0.7841355374920084,0.6380576786151432,0.7653429602888087,4.842946204609364e-05
0.5598722133029813,0.7864645173075167,0.6189540775243987,0.7635379061371841,4.686047402353438e-05
0.5576933376842879,0.7870125125582245,0.583615333164642,0.779783393501805,4.529458433407433e-05
0.5504606586197694,0.7877660060279478,0.5992594139670637,0.7689530685920578,4.3733338321784836e-05
0.5510025158387056,0.7857566901086858,0.6011149338866829,0.7671480144404332,4.21782767479885e-05
0.5480840940030811,0.7905744816878254,0.6068783404594724,0.7527075812274369,4.0630934270713814e-05
0.5413852333804768,0.7916933053246872,0.6079794121132861,0.7833935018050542,3.909283793017293e-05
0.5432891220205482,0.7906429810941639,0.5837856315963965,0.7725631768953068,3.75655056417573e-05
